Model,Publication date,Organization,Domain,Task,log_parameters
LIMA,2023-05-18,"Meta AI,Carnegie Mellon University (CMU),University of Southern California,Tel Aviv University",Language,"Chat,Language modeling/generation",10.812913356642856
Tianhe Tianyuan,2023-05-18,National Supercomputer Center in Tianjin,Unknown,Unknown,
CongRong (从容大模型),2023-05-18,CloudWalk Technology,Language,Unknown,
CoEdiT-xxl,2023-05-17,"University of Minnesota,Grammarly",Language,Language generation,10.041392685158225
WeLM,2023-05-16,WeChat AI,Language,"Language modeling/generation,Translation",10.0
Med-PaLM 2,2023-05-16,"Google Research,DeepMind","Medicine,Language",Question answering,11.531478917042255
OpenCALM,2023-05-15,CyberAgent,Language,Chat,9.845098040014257
A.X (Adot) 39B,2023-05-15,SK Telecom,"Language,Speech",Chat,10.5910646070265
LMRec,2023-05-13,"NAVER,Naver AI Lab","Language,Recommendation",Language modeling/generation,8.32221929473392
InstructBLIP,2023-05-11,"Salesforce Research,Hong Kong University of Science and Technology (HKUST),Nanyang Technological University","Multimodal,Language,Vision","Visual question answering,Chat",10.113943352306837
ESM-GearNet,2023-05-11,"Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal,IBM Research,HEC Montreal,CIFAR AI Research",Biology,"Proteins,Protein function prediction",8.812913356642856
PaLM 2,2023-05-10,Google,Language,"Language modeling,Language modeling/generation",11.531478917042255
PaLM-2 Bison,2023-05-10,Google,Language,"Chat,Language modeling/generation,Question answering",
PaLM-2 Unicorn,2023-05-10,Google,Language,"Chat,Language modeling/generation,Question answering",
PaLM-2 Gecko,2023-05-10,Google,Language,"Chat,Language modeling/generation,Question answering",
PaLM-2 Otter,2023-05-10,Google,Language,"Chat,Language modeling/generation,Question answering",
StarCoder,2023-05-09,"Hugging Face,ServiceNow,Northeastern University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Carnegie Mellon University (CMU),Johns Hopkins University,Leipzig University,ScaDS.AI,Queen Mary University of London,Roblox,Sea AI Lab,Technion - Israel Institute of Technology,Monash University,CSIRO,Data61,McGill University,Saama,University of British Columbia (UBC),Massachusetts Institute of Technology (MIT),Technical University of Munich,IBM,University of Vermont,UnfoldML,SAP,University of Notre Dame,Columbia University,New York University (NYU),University of Allahabad,Discover Dollar,Toloka,Telefonica,Stanford University,Weizmann Institute of Science,Alan Turing Institute,Wellesley College,EleutherAI,Forschungszentrum Julich",Language,Code generation,10.190331698170292
ImageBind,2023-05-09,Meta AI,"Multimodal,Vision,Audio,Language,Image generation,Speech","Image classification,Speech recognition (ASR),Image generation,Language modeling/generation",8.96941591235398
Spark,2023-05-06,iFlytek,Language,"Language modeling/generation,Question answering",
MPT-7B,2023-05-05,MosaicML,Language,"Language modeling/generation,Question answering",9.845098040014257
Otter,2023-05-05,Nanyang Technological University,"Multimodal,Language,Vision","Chat,Visual question answering,Image captioning,Image generation,Vision-language generation",9.113943352306837
CodeGen2,2023-05-03,Salesforce,Language,Code generation,10.204119982655925
Perfusion,2023-05-02,"NVIDIA,Tel Aviv University,Bar-Ilan University",Image generation,Text-to-image,
OpenLLaMA-13B,2023-05-01,OpenLM Research,Language,"Language modeling/generation,Question answering",10.113943352306837
Wutong,2023-05-01,Unknown,Unknown,Unknown,
MosaicML Diffusion,2023-04-28,Databricks,Image generation,"Image generation,Text-to-image",9.110573693964085
Shishuo,2023-04-27,4Paradigm,"Language,Multimodal,Speech","Language modeling/generation,Code generation,Speech synthesis",
Eleven Multilingual v1,2023-04-27,ElevenLabs,Speech,"Text-to-speech (TTS),Speech synthesis",
Agile Soccer Robot,2023-04-26,Google DeepMind,Robotics,"Animal (human/non-human) imitation,Sports",
WizardLM-7B,2023-04-24,"Microsoft,Peking University",Language,Language modeling,9.826074802700827
Falcon-7B,2023-04-24,Technology Innovation Institute,Language,"Language modeling/generation,Question answering",9.845098040014257
WizardLM 70B,2023-04-24,"Microsoft,Peking University",Language,"Language modeling/generation,Chat",10.845098040014257
ruGPT-3.5 13B,2023-04-24,Sber,Language,"Chat,Language modeling/generation",10.113943352306837
GigaChat,2023-04-24,Sber,Language,"Language modeling/generation,Question answering,Chat",
AlphaLink,2023-04-20,"Technische Universitat Berlin,Research Cluster of Excellence,University of Edinburgh",Biology,Protein folding prediction,7.968482948553935
MOSS-Moon-003,2023-04-19,Fudan University,Language,Code generation,10.204119982655925
Claude 1.3,2023-04-18,Anthropic,Language,"Language modeling,Chat",
AiLMe-100B v3,2023-04-18,"Qilin Hesheng Network Technology Co., Ltd. (APUS)","Multimodal,Language,Video,Image generation,Audio","Image generation,Audio generation,Video generation,Language generation,Language modeling/generation,Question answering",11.0
LLaVA,2023-04-17,"University of Wisconsin Madison,Microsoft Research,Columbia University","Multimodal,Vision,Language","Chat,Question answering,Visual question answering",10.113943352306837
BELLE-LLaMA-EXT-7B,2023-04-16,KE Holdings Inc. (“Beike”),Language,Language modeling/generation,9.845098040014257
OpenCLIP ViT-H-14-378-quickgelu,2023-04-16,Massachusetts Institute of Technology (MIT),Vision,Image captioning,8.994189529664578
Suno Bark Model,2023-04-15,Suno,Audio,Audio generation,8.477121254719663
DINOv2,2023-04-14,"Facebook AI Research,INRIA",Vision,"Image representation,Image classification",9.056904851336473
HuaTuo,2023-04-14,Harbin Institute of Technology,Language,"Language modeling/generation,Question answering,Medical diagnosis",9.845098040014257
Anthropic LM 52B,2023-04-12,Anthropic,Language,"Language modeling/generation,Question answering",10.7160033436348
Dolly 2.0-12b,2023-04-12,Databricks,Language,Chat,10.079181246047625
SenseChat,2023-04-10,SenseTime,Language,"Chat,Language modeling/generation",11.255272505103306
Incoder-6.7B,2023-04-09,"Facebook AI Research,University of Washington,University of California (UC) Berkeley,Carnegie Mellon University (CMU),Toyota Technological Institute at Chicago",Language,Code generation,9.826074802700827
gLM,2023-04-08,Harvard University,Biology,Protein or nucleotide language model (pLM/nLM),9.0
DiffDock-PP,2023-04-08,"Technical University of Munich,Massachusetts Institute of Technology (MIT)",Biology,Protein interaction prediction,6.209515014542631
EvoMIL,2023-04-08,"University of Glasgow,Cancer Research UK Beatson Institute",Biology,Virus-host association prediction,
Cerebras-GPT-13B,2023-04-06,Cerebras Systems,Language,Language modeling,10.113943352306837
Segment Anything Model,2023-04-05,Meta AI,Vision,Image segmentation,8.803457115648413
BELLE-7B-0.2M,2023-04-05,KE Holdings Inc. (“Beike”),Language,Language modeling/generation,9.845098040014257
BELLE-7B-1M,2023-04-05,KE Holdings Inc. (“Beike”),Language,Language modeling/generation,9.845098040014257
BELLE-7B-2M,2023-04-05,KE Holdings Inc. (“Beike”),Language,Language modeling/generation,9.845098040014257
EigenFold,2023-04-05,Massachusetts Institute of Technology (MIT),Biology,Protein folding prediction,
Pythia-12b,2023-04-03,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",Language,"Language modeling/generation,Question answering",10.079181246047625
Pythia-2.8b,2023-04-03,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",Language,"Language modeling/generation,Question answering",9.44715803134222
Pythia-6.9b,2023-04-03,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",Language,"Language modeling/generation,Question answering",9.838849090737256
Pythia-160m,2023-04-03,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",Language,"Language modeling/generation,Question answering",8.204119982655925
Pythia-1b,2023-04-03,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",Language,"Language modeling/generation,Question answering",9.0
Pythia-1.4b,2023-04-03,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",Language,"Language modeling/generation,Question answering",9.146128035678238
Pythia-70m,2023-04-03,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",Language,"Language modeling/generation,Question answering",7.845098040014257
Pythia-410m,2023-04-03,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",Language,"Language modeling/generation,Question answering",8.612783856719735
MahLool,2023-04-03,University of Rochester,Biology,Protein property prediction,
STEPS,2023-04-01,"McGill University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Baidu Research - Silicon Valley AI Lab,Baidu,Boston Consulting Group X",Biology,"Protein classification,Protein localization prediction,Enzyme-catalyzed reaction classification",
Yiye Qingzhou,2023-04-01,EFFYIC (识因智能),"Multimodal,Language,Vision,Speech,Video","Language modeling/generation,Question answering,Visual question answering,Speech recognition (ASR),Video description",11.732393759822969
Vicuna-13B v0,2023-03-30,"Large Model Systems Organization,University of California (UC) Berkeley",Language,"Language modeling/generation,Chat",10.113943352306837
BloombergGPT,2023-03-30,"Bloomberg,Johns Hopkins University",Language,"Language modeling,Language modeling/generation,Question answering,Financial management,Text classification",10.703797345765011
Vicuna-7B v0,2023-03-30,"Large Model Systems Organization,University of California (UC) Berkeley",Language,Language modeling/generation,9.845098040014257
VideoMAE V2,2023-03-29,"Nanjing University,Shenzhen Institute of Advanced Technology,Shanghai AI Lab",Video,Action recognition,9.0
ERNIE-ViLG 2.0,2023-03-28,"Baidu,Wuhan University of Science and Technology",Image generation,Image generation,10.380211241711606
SigLIP 400M,2023-03-27,Google DeepMind,Vision,"Image classification,Image embedding",8.602059991327963
SigLiT,2023-03-27,Google DeepMind,Vision,Image classification,
EVA-CLIP (EVA-02-CLIP-E/14+)																											,2023-03-27,"Beijing Academy of Artificial Intelligence / BAAI,Huazhong University of Science and Technology",Vision,Image classification,9.698970004336019
BELLE-7B-0.6M,2023-03-26,KE Holdings Inc. (“Beike”),Language,Language modeling/generation,9.845098040014257
CPM-Bee,2023-03-24,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI,ModelBest,OpenBMB (Open Lab for Big Model Base)",Language,"Language modeling/generation,Question answering",10.0
minChatGPT,2023-03-24,Stanford University,Language,Chat,9.214578953570498
Lightweight Fine-tuning a Pretrained Protein Language Model for Protein Secondary,2023-03-23,Henan University,Biology,"Protein or nucleotide language model (pLM/nLM),Protein folding prediction",
Sparse Wide GPT-3 Small,2023-03-21,Cerebras Systems,Language,"Language modeling/generation,Question answering",9.113943352306837
LightOn Mini,2023-03-21,LightOn,Language,"Language modeling/generation,Chat",10.602059991327963
Firefly,2023-03-21,Adobe,Image generation,"Image generation,Text-to-image",
Gen-2,2023-03-20,Runway,Video,"Video generation,Text-to-video,Image-to-video,Video-to-video",
PanGu-Σ,2023-03-20,Huawei Noah's Ark Lab,Language,"Code generation,Language modeling,Translation,Question answering",12.035429738184549
GPT-4 (Mar 2023),2023-03-15,OpenAI,"Multimodal,Language,Vision","Language modeling,Language modeling/generation,Question answering,Visual question answering",12.255272505103306
Falcon-40B,2023-03-15,Technology Innovation Institute,Language,"Language modeling,Language modeling/generation,Question answering",10.602059991327963
LEP-AD,2023-03-15,"King Abdullah University of Science and Technology (KAUST),Karolinska Institute",Biology,"Proteins,Protein interaction prediction,Drug discovery,Protein-ligand binding affinity prediction",9.478188451617592
RIO,2023-03-15,West Lake Xinchen / Xinchen AI / 西湖心辰（杭州）科技有限公司,Language,"Language modeling/generation,Question answering,Search",11.0
GPT-4 (Jun 2023),2023-03-15,OpenAI,"Multimodal,Language,Vision","Language modeling,Language modeling/generation,Question answering,Visual question answering",12.255272505103306
Claude,2023-03-14,Anthropic,Language,"Language modeling,Chat,Language modeling/generation,Question answering",
Alpaca,2023-03-13,Stanford University,Language,"Language modeling/generation,Question answering",9.845098040014257
Pythia-Chat-Base-7B-v0.16,2023-03-08,Together,Language,Chat,9.845098040014257
VALL-E X,2023-03-07,Microsoft,Speech,"Translation,Speech synthesis,Speech recognition (ASR),Speech-to-speech",8.845098040014257
PaLM-E,2023-03-06,"Google,TU Berlin","Robotics,Vision,Language","Visual question answering,Robotic manipulation,Image captioning,Language generation",11.749736315569061
Uni-Mol Molecular Model,2023-03-06,"Renmin University of China,DP Technology,AI for Science Institute, Beijing (AISI)",Biology,"Molecular representation learning,Molecular property prediction,Protein-ligand contact prediction,Drug discovery",
AudioGen,2023-03-05,"Meta AI,Hebrew University of Jerusalem",Audio,Audio generation,9.0
Flan UL2,2023-03-03,Google Brain,Language,Language generation,10.290034611362518
DiT-XL/2,2023-03-02,"New York University (NYU),University of California (UC) Berkeley",Image generation,Image generation,8.829303772831025
Consistency Model (CIFAR-10),2023-03-02,OpenAI,Image generation,Image generation,
